"Accelerate","v. t.","To hasten, as the occurence of an event; as, to accelerate our departure."
"Acceleration","n.","The act of accelerating, or the state of being accelerated; increase of motion or action; as, a falling body moves toward the earth with an acceleration of velocity; -- opposed to retardation."
"Accent","n.","A mark used to denote feet and inches; as, 6' 10'' is six feet ten inches."
"Accept","v. t.","To receive or admit and agree to; to assent to; as, I accept your proposal, amendment, or excuse."
"Acceptable","a.","Capable, worthy, or sure of being accepted or received with pleasure; pleasing to a receiver; gratifying; agreeable; welcome; as, an acceptable present, one acceptable to us."
"Acceptance","n.","An agreeing to the action of another, by some act which binds the person in law."
"Access","n.","Increase by something added; addition; as, an access of territory. [In this sense accession is more generally used.]"
"Accessary","n.","One who, not being present, contributes as an assistant or instigator to the commission of an offense."
"Accessibility","n.","The quality of being accessible, or of admitting approach; receptibility."
"Accessible","a.","Easy of access or approach; approachable; as, an accessible town or mountain, an accessible person."
"Accessory","n.","Anything that enters into a work of art without being indispensably necessary, as mere ornamental parts."
"Accident","n.","Unusual appearance or effect."
"Acclaim","n.","Acclamation."
"Accompany","v. i.","To perform an accompanying part or parts in a composition."
"Accomplice","n.","An associate in the commission of a crime; a participator in an offense, whether a principal or an accessory."
"Accomplish","v. t.","To gain; to obtain."
"According","adv.","Accordingly; correspondingly."
"Accordingly","adv.","Agreeably; correspondingly; suitably; in a manner conformable."
"Accountable ness","n.","The quality or state of being accountable; accountability."
"Accountably","adv.","In an accountable manner."
"Accountancy","n.","The art or employment of an accountant."
"Accountant","n.","One who renders account; one accountable."
"Accumulate","a.","Collected; accumulated."
"Accurate","a.","Precisely fixed; executed with care; careful."
"Accuse","v. t.","To betray; to show. [L.]"
"Achieve","v. t.","To finish; to kill."
"Achievement","n.","The act of achieving or performing; an obtaining by exertion; successful performance; accomplishment; as, the achievement of his object."
"Acidify","v. t.","To sour; to imbitter."
"Acidity","n.","The quality of being sour; sourness; tartness; sharpness to the taste; as, the acidity of lemon juice."
"Acknowledge","v. t.","To of or admit the knowledge of; to recognize as a fact or truth; to declare one's belief in; as, to acknowledge the being of a God."
"Acknowledgment","n.","A declaration or avowal of one's own act, to give it legal validity; as, the acknowledgment of a deed before a proper officer. Also, the certificate of the officer attesting such declaration."
"Acquaintance","n.","A person or persons with whom one is acquainted."
"Act","v. i.","To perform on the stage; to represent a character."
"Action","n.","The mechanical contrivance by means of which the impulse of the player's finger is transmitted to the strings of a pianoforte or to the valve of an organ pipe."
"Active","a.","Applied to all verbs that express action as distinct from mere existence or state."
"Activity","n.","The state or quality of being active; nimbleness; agility; vigorous action or operation; energy; active force; as, an increasing variety of human activities."
"Adapt","a.","Fitted; suited."
"Add","v. i.","To perform the arithmetical operation of addition; as, he adds rapidly."
"Addict","p. p.","Addicted; devoted."
"Addicted","imp. & p. p.","of Addict"
"Address","v. t.","Skill; skillful management; dexterity; adroitness."
"Adequate","a.","To equal."
"Adherence","n.","The quality or state of adhering."
"Adjust","v. t.","To bring to a true relative position, as the parts of an instrument; to regulate for use; as, to adjust a telescope or microscope."
"Administration","n.","The management of an estate of a deceased person by an executor, the strictly corresponding term execution not being in use."
"Administrative","a.","Pertaining to administration; administering; executive; as, an administrative body, ability, or energy."
"Administrator","n.","One who administers affairs; one who directs, manages, executes, or dispenses, whether in civil, judicial, political, or ecclesiastical affairs; a manager."
"Admirable","a.","Having qualities to excite wonder united with approbation; deserving the highest praise; most excellent; -- used of persons or things."
"Admire","v. i.","To wonder; to marvel; to be affected with surprise; -- sometimes with at."
"Admission","n.","Declaration of the bishop that he approves of the presentee as a fit person to serve the cure of the church to which he is presented."
"Admit","v. t.","To be capable of; to permit; as, the words do not admit such a construction. In this sense, of may be used after the verb, or may be omitted."
"Adolescent","n.","A youth."
"Adopt","v. t.","To take or receive as one's own what is not so naturally; to select and take or approve; as, to adopt the view or policy of another; these resolutions were adopted."
"Adorable","a.","Worthy of the utmost love or respect."
"Adult","n.","A person, animal, or plant grown to full size and strength; one who has reached maturity."
"Adust","a.","Having much heat in the constitution and little serum in the blood. [Obs.] Hence: Atrabilious; sallow; gloomy."
"Advance","v.","The first step towards the attainment of a result; approach made to gain favor, to form an acquaintance, to adjust a difference, etc.; an overture; a tender; an offer; -- usually in the plural."
"Advantage","n.","Interest of money; increase; overplus (as the thirteenth in the baker's dozen)."
"Adventure","n.","A mercantile or speculative enterprise of hazard; a venture; a shipment by a merchant on his own account."
"Adverse","v. t.","To oppose; to resist."
"Adversely","adv.","In an adverse manner; inimically; unfortunately; contrariwise."
"Adverseness","n.","The quality or state of being adverse; opposition."
"Adversifoliate","a.","Alt. of Adversifolious"
"Adversifolious","a.","Having opposite leaves, as plants which have the leaves so arranged on the stem."
"Adversion","n.","A turning towards; attention."
"Adversities","pl. ","of Adversity"
"Adversity","n.","Opposition; contrariety."
"Adverted","imp. & p. p.","of Advert"
"Adverting","p. pr. & vb. n.","of Advert"
"Advert","v. i.","To turn the mind or attention; to refer; to take heed or notice; -- with to; as, he adverted to what was said."
"Advertence","","Alt. of Advertency"
"Advertency","","The act of adverting, of the quality of being advertent; attention; notice; regard; heedfulness."
"Advertent","a.","Attentive; heedful; regardful."
"Advertised","imp. & p. p.","of Advertise"
"Advertising","p. pr. & vb. n.","of Advertise"
"Advertise","v. t.","To give notice to; to inform or apprise; to notify; to make known; hence, to warn; -- often followed by of before the subject of information; as, to advertise a man of his loss."
"Advertise","v. t.","To give public notice of; to announce publicly, esp. by a printed notice; as, to advertise goods for sale, a lost article, the sailing day of a vessel, a political meeting."
"Advertisement","n.","The act of informing or notifying; notification."
"Advertisement","n.","Admonition; advice; warning."
"Advertisement","n.","A public notice, especially a paid notice in some public print; anything that advertises; as, a newspaper containing many advertisements."
"Advertiser","n.","One who, or that which, advertises."
"Advice","n.","An opinion recommended or offered, as worthy to be followed; counsel."
"Advisability","n.","The quality of being advisable; advisableness."
"Advisable","a.","Proper to be advised or to be done; expedient; prudent."
"Advisable-ness","n.","The quality of being advisable or expedient; expediency; advisability."
"Advisably","adv.","With advice; wisely."
"Advised","imp. & p. p.","of Advise"
"Advising","p. pr. & vb. n.","of Advise"
"Advise","v. t.","To give advice to; to offer an opinion, as worthy or expedient to be followed; to counsel; to warn."
"Adviser","n.","One who advises."
"Advisership","n.","The office of an adviser."
"Advocate","n.","One who pleads the cause of another. Specifically: One who pleads the cause of another before a tribunal or judicial court; a counselor."
"Advocate","n.","One who defends, vindicates, or espouses any cause by argument; a pleader; as, an advocate of free trade, an advocate of truth."
"Advocate","n.","Christ, considered as an intercessor."
"Advocated","imp. & p. p.","of Advocate"
"Advocating","p. pr. & vb. n.","of Advocate"
"Advocateship","n.","Office or duty of an advocate."
"Advocation","n.","The act of advocating or pleading; plea; advocacy."
"Advocatory","a.","Of or pertaining to an advocate."
"Advoke","v. t.","To summon; to call."
"Advolution","n.","A rolling toward something."
"Advoutrer","n.","An adulterer."
"Advoutress","n.","An adulteress."
"Advoutry","n.","Alt. of Advowtry"
"Adynamic","a.","Characterized by the absence of power or force."
"Adynamy","n.","Adynamia."
"Aerial","a.","Light as air; ethereal."
"Aeriality","n.","The state of being aerial; unsubstantiality."
"Aerially","adv.","Like, or from, the air; in an aerial manner."
"Aerie","n.","The nest of a bird of prey, as of an eagle or hawk; also a brood of such birds; eyrie. Shak. Also fig.: A human residence or resting place perched like an eagle's nest."
"Aeriferous","a.","Conveying or containing air; air-bearing; as, the windpipe is an aeriferous tube."
"Aerification","n.","The act of combining air with another substance, or the state of being filled with air."
"Aerification","n.","The act of becoming aerified, or of changing from a solid or liquid form into an aeriform state; the state of being aeriform."
"Aeriform","a.","Having the form or nature of air, or of an elastic fluid; gaseous. Hence fig.: Unreal."
"Aerify","v. t.","To infuse air into; to combine air with."
"Aerify","v. t.","To change into an aeriform state."
"Aero-","","The combining form of the Greek word meaning air."
"Aerobies","n. pl.","Microorganisms which live in contact with the air and need oxygen for their growth; as the microbacteria which form on the surface of putrefactive fluids."
"Aerobiotic","a.","Related to, or of the nature of, aerobies; as, aerobiotic plants, which live only when supplied with free oxygen."
"Aerocyst","n.","One of the air cells of algals."
"Aerodynamic","a.","Pertaining to the force of air in motion."
"Aerodynamics","n.","The science which treats of the air and other gaseous bodies under the action of force, and of their mechanical effects."
"Aerognosy","n.","The science which treats of the properties of the air, and of the part it plays in nature."
"Aerographer","n.","One versed in aeography: an aerologist."
"Aerographic","a.","Alt. of Aerographical"
"Aerographical","a.","Pertaining to aerography; aerological."
"Aerography","n.","A description of the air or atmosphere; aerology."
"Aerohydrodynamic","a.","Acting by the force of air and water; as, an aerohydrodynamic wheel."
"Aerolite","n.","A stone, or metallic mass, which has fallen to the earth from distant space; a meteorite; a meteoric stone."
"Aerolith","n.","Same as A/rolite."
"Aerolithology","n.","The science of aerolites."
"Aerolitic","a.","Of or pertaining to aerolites; meteoric; as, aerolitic iron."
"Aerologic","a.","Alt. of Aerological"
"Aerological","a.","Of or pertaining to aerology."
"Aerologist","n.","One versed in aerology."
"Aerology","n.","That department of physics which treats of the atmosphere."
"Aeromancy","n.","Divination from the state of the air or from atmospheric substances; also, forecasting changes in the weather."
"Aerometer","n.","An instrument for ascertaining the weight or density of air and gases."
"Aerometric","a.","Of or pertaining to aerometry; as, aerometric investigations."
"Aerometry","n.","The science of measuring the air, including the doctrine of its pressure, elasticity, rarefaction, and condensation; pneumatics."
"Aeronaut","n.","An aerial navigator; a balloonist."
"Aeronautic","a.","Alt. of Aeronautical"
"Aeronautical","a.","Pertaining to aeronautics, or aerial sailing."
"Aeronautics","n.","The science or art of ascending and sailing in the air, as by means of a balloon; aerial navigation; ballooning."
"Aerophobia","n.","Alt. of Aerophoby"
"Aerophoby","n.","Dread of a current of air."
"Aerophyte","n.","A plant growing entirely in the air, and receiving its nourishment from it; an air plant or epiphyte."
"Aeroplane","n.","A flying machine, or a small plane for experiments on flying, which floats in the air only when propelled through it."
"Aeroscope","n.","An apparatus designed for collecting spores, germs, bacteria, etc., suspended in the air."
"Aeroscopy","n.","The observation of the state and variations of the atmosphere."
"Aerose","a.","Of the nature of, or like, copper; brassy."
"Aerosiderite","n.","A mass of meteoric iron."
"Aerosphere","n.","The atmosphere."
"Aerostat","n.","A balloon."
"Aerostat","n.","A balloonist; an aeronaut."
"Aerostatic","a.","Alt. of Aerostatical"
"Aerostatical","a.","Of or pertaining to aerostatics; pneumatic."
"Aerostation","n.","Aerial navigation; the art of raising and guiding balloons in the air."
"Aery","a.","Aerial; ethereal; incorporeal; visionary."
"Aesculapian","a.","Pertaining to Aesculapius or to the healing art; medical; medicinal."
"Aesculapius","n.","The god of medicine. Hence, a physician."
"Aestivate","v. i.","To spend the summer."
"Aestivate","v. i.","To pass the summer in a state of torpor."
"Affair","n.","Any proceeding or action which it is wished to refer to or characterize vaguely; as, an affair of honor, i. e., a duel; an affair of love, i. e., an intrigue."
"Affamishment","n.","Starvation."
"Affatuate","v. t.","To infatuate."
"Affear","v. t.","To frighten."
"Affected","imp. & p. p.","of Affect"
"Affecting","p. pr. & vb. n.","of Affect"
"Affect","n.","Affection; inclination; passion; feeling; disposition."
"Affectation","n.","An attempt to assume or exhibit what is not natural or real; false display; artificial show."
"Affected","p. p. & a.","Made up of terms involving different powers of the unknown quantity; adfected; as, an affected equation."
"Affectedly","adv.","In an affected manner; hypocritically; with more show than reality."
"Affectedly","adv.","Lovingly; with tender care."
"Affectedness","n.","Affectation."
"Affecter","n.","One who affects, assumes, pretends, or strives after."
"Affectibility","n.","The quality or state of being affectible."
"Affectible","a.","That may be affected."
"Affecting","a.","Moving the emotions; fitted to excite the emotions; pathetic; touching; as, an affecting address; an affecting sight."
"Affecting","a.","Affected; given to false show."
"Affectingly","adv.","In an affecting manner; is a manner to excite emotions."
"Affection","n.","The act of affecting or acting upon; the state of being affected."
"Affectionately","adv.","With affection; lovingly; fondly; tenderly; kindly."
"Affectionateness","n.","The quality of being affectionate; fondness; affection."
"Affectioned","a.","Disposed."
"Affective","a.","Pertaining to or exciting emotion; affectional; emotional."
"Affectively","adv.","In an affective manner; impressively; emotionally."
"Affectuous","a.","Full of passion or emotion; earnest."
"Affeer","v. t.","To confirm; to assure."
"Affiance","n.","Trust; reliance; faith; confidence."
"Affianced","imp. / p. p.","of Affiance"
"Affiancing","p. pr. / vb. n.","of Affiance"
"Affiance","v. t.","To betroth; to pledge one's faith to for marriage, or solemnly promise (one's self or another) in marriage."
"Affiancer","n.","One who makes a contract of marriage between two persons."
"Affiliate","v. i.","To connect or associate one's self; -- followed by with; as, they affiliate with no party."
"Affiliation","n.","Adoption; association or reception as a member in or of the same family or society."
"Affinal","a.","Related by marriage; from the same source."
"Affine","v. t.","To refine."
"Affined","a.","Joined in affinity or by any tie."
"Affinitative","a.","Of the nature of affinity."
"Affinitive","a.","Closely connected, as by affinity."
"Affinities","pl. ","of Affinity"
"Affinity","n.","Relationship by marriage (as between a husband and his wife's blood relations, or between a wife and her husband's blood relations); -- in contradistinction to consanguinity, or relationship by blood; -- followed by with, to, or between."
"Affinity","n.","Kinship generally; close agreement; relation; conformity; resemblance; connection; as, the affinity of sounds, of colors, or of languages."
"Affirm","v. i.","To make a solemn declaration, before an authorized magistrate or tribunal, under the penalties of perjury; to testify by affirmation."
"Affirmable","a.","Capable of being affirmed, asserted, or declared; -- followed by of; as, an attribute affirmable of every just man."
"Affirmative","n.","A word or phrase expressing affirmation or assent; as, yes, that is so, etc."
"Affirmatively","adv.","In an affirmative manner; on the affirmative side of a question; in the affirmative; -- opposed to negatively."
"Affirmatory","a.","Giving affirmation; assertive; affirmative."
"Affirmer","n.","One who affirms."
"Affixed","imp. & p. p.","of Affix"
"Affixing","p. pr. & vb. n.","of Affix"
"Affix","v. t.","To subjoin, annex, or add at the close or end; to append to; to fix to any part of; as, to affix a syllable to a word; to affix a seal to an instrument; to affix one's name to a writing."
"Afflatus","n.","A breath or blast of wind."
"Afflatus","n.","A divine impartation of knowledge; supernatural impulse; inspiration."
"Afflicted","imp. & p. p.","of Afflict"
"Afflicting","p. pr. & vb. n.","of Afflict"
"Afflictedness","n.","The state of being afflicted; affliction."
"Afflicter","n.","One who afflicts."
"Afflicting","a.","Grievously painful; distressing; afflictive; as, an afflicting event. -- Af*flict""ing*ly, adv."
"Affluence","n.","A flowing to or towards; a concourse; an influx."
"Affluent","n.","A stream or river flowing into a larger river or into a lake; a tributary stream."
"Affluently","adv.","Abundantly; copiously."
"Affluentness","n.","Great plenty."
"Afflux","n.","A flowing towards; that which flows to; as, an afflux of blood to the head."
"Affluxion","n.","The act of flowing towards; afflux."
"Affodill","n.","Asphodel."
"Afforce","v. t.","To reenforce; to strengthen."
"Afforcement","n.","A fortress; a fortification for defense."
"Afforcement","n.","A reenforcement; a strengthening."
"Afforciament","n.","See Afforcement."
"Afforded","imp. & p. p.","of Afford"
"Affording","p. pr. & vb. n.","of Afford"
"Afford","v. t.","To give forth; to supply, yield, or produce as the natural result, fruit, or issue; as, grapes afford wine; olives afford oil; the earth affords fruit; the sea affords an abundant supply of fish."
"Affordable","a.","That may be afforded."
"Affordment","n.","Anything given as a help; bestowal."
"Afforest","v. t.","To convert into a forest; as, to afforest a tract of country."
"Afforestation","n.","The act of converting into forest or woodland."
"Afformative","n.","An affix."
"Affranchise","v. t.","To make free; to enfranchise."
"Affranchisement","n.","The act of making free; enfranchisement."
"Affrap","v. t. & i.","To strike, or strike down."
"Affrayed","p. p.","of Affray"
"Affray","v. t.","To startle from quiet; to alarm."
"Affrighted","imp. & p. p.","of Affright"
"Affrighting","p. pr. & vb. n.","of Affright"
"Affright","v. t.","To impress with sudden fear; to frighten; to alarm."
"Affront","v. t.","To front; to face in position; to meet or encounter face to face."
"Affront","v. t.","To face in defiance; to confront; as, to affront death; hence, to meet in hostile encounter."
"Affronter","n.","One who affronts, or insults to the face."
"Affrontingly","adv.","In an affronting manner."
"Affrontive","a.","Tending to affront or offend; offensive; abusive."
"Affrontiveness","n.","The quality that gives an affront or offense."
"Affused","imp. & p. p.","of Affuse"
"Affusing","p. pr. & vb. n.","of Affuse"
"Affuse","v. t.","To pour out or upon."
"Affusion","n.","The act of pouring upon, or sprinkling with a liquid, as water upon a child in baptism."
"Affied","imp. & p. p.","of Affy"
"Affying","p. pr.","of Affy"
"Affy","v. t.","To confide (one's self to, or in); to trust."
"Aflaunt","adv. & a.","In a flaunting state or position."
"Aflicker","adv. & a.","In a flickering state."
"Afloat","adv. & a.","Borne on the water; floating; on board ship."
"Afloat","adv. & a.","Moving; passing from place to place; in general circulation; as, a rumor is afloat."
"Afloat","adv. & a.","Unfixed; moving without guide or control; adrift; as, our affairs are all afloat."
"Aflow","adv. & a.","Flowing."
"Aflush","adv. & a.","In a flushed or blushing state."
"Aflush","adv. & a.","On a level."
"Aflutter","adv. & a.","In a flutter; agitated."
"Afoam","adv. & a.","In a foaming state; as, the sea is all afoam."
"Afront","adv.","In front; face to face."
"Afront","prep.","In front of."
"Aft","adv. & a.","Near or towards the stern of a vessel; astern; abaft."
"After","a.","Next; later in time; subsequent; succeeding; as, an after period of life."
"After","a.","Hinder; nearer the rear."
"After","adv.","Subsequently in time or place; behind; afterward; as, he follows after."
"Afterbirth","n.","The placenta and membranes with which the fetus is connected, and which come away after delivery."
"Aftercast","n.","A throw of dice after the game in ended; hence, anything done too late."
"Afterclap","n.","An unexpected subsequent event; something disagreeable happening after an affair is supposed to be at an end."
"Aftercrop","n.","A second crop or harvest in the same year."
"After damp","","An irrespirable gas, remaining after an explosion of fire damp in mines; choke damp. See Carbonic acid."
"After-dinner","n.","The time just after dinner."
"After-dinner","a.","Following dinner; post-prandial; as, an after-dinner nap."
"After-eatage","n.","Aftergrass."
"Aftereye","v. t.","To look after."
"Aftergame","n.","A second game; hence, a subsequent scheme or expedient."
"After-glow","n.","A glow of refulgence in the western sky after sunset."
"Aftergrass","n.","The grass that grows after the first crop has been mown; aftermath."
"Aftergrowth","n.","A second growth or crop, or (metaphorically) development."
"Afterguard","n.","The seaman or seamen stationed on the poop or after part of the ship, to attend the after-sails."
"After-image","n.","The impression of a vivid sensation retained by the retina of the eye after the cause has been removed; also extended to impressions left of tones, smells, etc."
"Afterings","n. pl.","The last milk drawn in milking; strokings."
"Aftermath","n.","A second moving; the grass which grows after the first crop of hay in the same season; rowen."
"After-mentioned","a.","Mentioned afterwards; as, persons after-mentioned (in a writing)."
"Aftermost","a. superl.","Hindmost; -- opposed to foremost."
"Aftermost","a. superl.","Nearest the stern; most aft."
"Afternoon","n.","The part of the day which follows noon, between noon and evening."
"After-note","n.","One of the small notes occur on the unaccented parts of the measure, taking their time from the preceding note."
"Afterpains","n. pl.","The pains which succeed childbirth, as in expelling the afterbirth."
"Afterpiece","n.","A piece performed after a play, usually a farce or other small entertainment."
"Afterpiece","n.","The heel of a rudder."
"After-sails","n.","The sails on the mizzenmast, or on the stays between the mainmast and mizzenmast."
"Aftershaft","n.","The hypoptilum."
"Aftertaste","n.","A taste which remains in the mouth after eating or drinking."
"Afterthought","n.","Reflection after an act; later or subsequent thought or expedient."
"Afterwards","adv.","Alt. of Afterward"
"Afterward","adv.","At a later or succeeding time."
"Afterwise","a.","Wise after the event; wise or knowing, when it is too late."
"After-wit","n.","Wisdom or perception that comes after it can be of use."
"After-witted","a.","Characterized by after-wit; slow-witted."
"Again","prep.","Alt. of Agains"
"Agate","n.","A tool used by gold-wire drawers, bookbinders, etc.; -- so called from the agate fixed in it for burnishing."
"Agatiferous","a.","Containing or producing agates."
"Agatine","a.","Pertaining to, or like, agate."
"Agatize","v. t.","To convert into agate; to make resemble agate."
"Agaty","a.","Of the nature of agate, or containing agate."
"Agave","n.","A genus of plants (order Amaryllidaceae) of which the chief species is the maguey or century plant (A. Americana), wrongly called Aloe. It is from ten to seventy years, according to climate, in attaining maturity, when it produces a gigantic flower stem, sometimes forty feet in height, and perishes. The fermented juice is the pulque of the Mexicans; distilled, it yields mescal. A strong thread and a tough paper are made from the leaves, and the wood has many uses."
"Agazed","p. p.","Gazing with astonishment; amazed."
"Aged","imp. & p. p.","of Age"
"Aging","p. pr. & vb. n.","of Age"
"Age","v. i.","To grow aged; to become old; to show marks of age; as, he grew fat as he aged."
"Agent","n.","An active power or cause; that which has the power to produce an effect; as, a physical, chemical, or medicinal agent; as, heat is a powerful agent."
"Agitation","n.","Examination or consideration of a subject in controversy, or of a plan proposed for adoption; earnest discussion; debate."
"Agitative","a.","Tending to agitate."
"Agitato","a.","Sung or played in a restless, hurried, and spasmodic manner."
"Agitator","n.","One who agitates; one who stirs up or excites others; as, political reformers and agitators."
"Ago","a. & adv.","Past; gone by; since; as, ten years ago; gone long ago."
"Agony","n.","The last struggle of life; death struggle."
"Agood","adv.","In earnest; heartily."
"Agree","v. t.","To admit, or come to one mind concerning; to settle; to arrange; as, to agree the fact; to agree differences."
"Agreeability","n.","Easiness of disposition."
"Agreeable","a.","In pursuance, conformity, or accordance; -- in this sense used adverbially for agreeably; as, agreeable to the order of the day, the House took up the report."
"Agreeableness","n.","The quality of being agreeable or pleasing; that quality which gives satisfaction or moderate pleasure to the mind or senses."
"Ahead","adv.","Headlong; without restraint."
"Aheap","adv.","In a heap; huddled together."
"Aid","v. t.","An aid-de-camp, so called by abbreviation; as, a general's aid."
"Aidance","n.","Aid."
"Aidant","a.","Helping; helpful; supplying aid."
"Aim","v. i.","Conjecture; guess."
"Aimer","n.","One who aims, directs, or points."
"Aimless","a.","Without aim or purpose; as, an aimless life."
"Air","n.","The artificial motion or carriage of a horse."
"Airy","a.","Having an affected manner; being in the habit of putting on airs; affectedly grand."
"Aisle","n.","Also (perhaps from confusion with alley), a passage into which the pews of a church open."
"Aisled","a.","Furnished with an aisle or aisles."
"Alarm","n.","A mechanical contrivance for awaking persons from sleep, or rousing their attention; an alarum."
"Alarmed","imp. & p. p.","of Alarm"
"Alarming","p. pr. & vb. n.","of Alarm"
"Alcohol","n.","The fluid essence or pure spirit obtained by distillation."
"Alcoholic","n.","Alcoholic liquors."
"Alcoholism","n.","A diseased condition of the system, brought about by the continued use of alcoholic liquors."
"Alcoholization","n.","The act of reducing a substance to a fine or impalpable powder."
"Alcove","n.","Any natural recess analogous to an alcove or recess in an apartment."
"Alert","n.","An alarm from a real or threatened attack; a sudden attack; also, a bugle sound to give warning."
"Alertly","adv.","In an alert manner; nimbly."
"Alertness","n.","The quality of being alert or on the alert; briskness; nimbleness; activity."
"Ale silver","","A duty payable to the lord mayor of London by the sellers of ale within the city."
"Alestake","n.","A stake or pole projecting from, or set up before, an alehouse, as a sign; an alepole. At the end was commonly suspended a garland, a bunch of leaves, or a ""bush."""
"Aletaster","n.","See Aleconner."
"Alethiology","n.","The science which treats of the nature of truth and evidence."
"Alethoscope","n.","An instrument for viewing pictures by means of a lens, so as to present them in their natural proportions and relations."
"Algebra","n.","A treatise on this science."
"Algebraic","a.","Alt. of Algebraical"
"Algebraical","a.","Of or pertaining to algebra; containing an operation of algebra, or deduced from such operation; as, algebraic characters; algebraical writings."
"Alias","adv.","At another time."
"Aliases","pl. ","of Alias"
"Alighted","imp. & p. p.","of Alight"
"Alit","","of Alight"
"Alighting","p. pr. & vb. n.","of Alight"
"Align","v. t.","To adjust or form to a line; to range or form in line; to bring into line; to aline."
"Alignment","n.","The ground-plan of a railway or other road, in distinction from the grades or profile."
"Alike","a.","Having resemblance or similitude; similar; without difference."
"Allure","n.","Gait; bearing."
"Allurement","n.","The act alluring; temptation; enticement."
"Ally","n.","See Alley, a marble or taw."
"Aloof","prep.","Away from; clear from."
"Alterative","n.","A medicine or treatment which gradually induces a change, and restores healthy functions without sensible evacuations."
"Altitude","n.","Elevation of spirits; heroics; haughty airs."
"Ambassador","n.","Alt. of Embassador"
"Baby","a.","Pertaining to, or resembling, an infant; young or little; as, baby swans."
"Back","n.","An extended upper part, as of a mountain or ridge."
